C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=sun.jnu.encoding, value_retrieved=true, property_value=UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=apple.awt.application.name, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=apple.awt.application.name, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=TurtleIntegrationTest, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=slf4j.detectLoggerNameMismatch, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=slf4j.provider, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1006, property_key=logback.ignoreTCL, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=logback.statusListenerClass, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=logback.scmoFile, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=logback.configurationFile, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.home, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.test.home, value_retrieved=true, property_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.logs, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=jvmxray.common.logs, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/logs, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.config, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=jvmxray.common.config, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/config, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.data, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=jvmxray.common.data, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/data, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.logservice.logs, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=jvmxray.logservice.logs, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/logservice/logs, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.logservice.config, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:1051, property_key=jvmxray.logservice.config, modification_success=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_setProperty, new_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/logservice/config, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.test.home, value_retrieved=true, property_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.home, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.logs, value_retrieved=true, property_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/logs, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.config, value_retrieved=true, property_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/config, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jvmxray.common.data, value_retrieved=true, property_value=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/data, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
