C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:795, file=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=CREATE, status=created_dir, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:795, file=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/config, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=CREATE, status=created_dir, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:3501, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-16378521269294593419/subdir_0/nested_0/marker.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=UPDATE, status=written, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-16378521269294593419/testfile_4.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-16378521269294593419/testfile_0.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-16378521269294593419/testfile_2.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:1153, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-16378521269294593419, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:35 CDT | DestroyJavaVM |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/tmp9675129041676397659, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:795, file=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=CREATE, status=created_dir, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:795, file=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/config, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=CREATE, status=created_dir, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:3501, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238/subdir_0/nested_0/marker.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=UPDATE, status=written, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238/testfile_0.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238/testfile_6.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238/testfile_5.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238/testfile_2.txt, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.io.fileio |  | caller=java.nio.file.Files:1153, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-8589503312204312238, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
C:AP | 2025.09.18 at 11:23:39 CDT | DestroyJavaVM |  INFO | org.jvmxray.events.io.fileio |  | caller=java.io.File:1075, file=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/tmp16283919211693181963, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=DELETE, status=deleted, CID=unit-test
