C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.util.HashMap, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.lang.String, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.lang.String, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.resolve |  | caller=java.io.ObjectInputStream:802, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=resolve_class, class_name=java.util.HashMap: static final long serialVersionUID = 362498820763181265L;, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.lang.String, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.lang.String, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.util.HashMap, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.util.HashMap, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.lang.String, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.serialize |  | caller=java.io.ObjectOutputStream:353, AID=7KLZZAC0DM9RA1ISVXQY63NTK, serialized_class=java.lang.String, operation=serialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.resolve |  | caller=java.io.ObjectInputStream:802, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=resolve_class, class_name=java.util.HashMap: static final long serialVersionUID = 362498820763181265L;, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.lang.String, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.lang.String, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
C:AP | 2025.09.18 at 11:23:38 CDT | main |  INFO | org.jvmxray.events.serialization.deserialize |  | call_context=general_context, caller=java.io.ObjectInputStream:498, deserialized_class=java.util.HashMap, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=deserialize, serialization_type=java_native, CID=unit-test
