C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: IS_SANDBOX=1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: TERM_SESSION_ID=35271184-A8B5-4215-A392-510845CDCF7B, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: SHLVL=2, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: SHELL=/bin/zsh, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: __CFBundleIdentifier=com.apple.Terminal, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: TMPDIR=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: MAVEN_PROJECTBASEDIR=/Users/milton/github/jvmxray, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: HOME=/Users/milton, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: LaunchInstanceID=1255BBC2-A776-48E3-8EDE-379649D896C3, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: PATH=/opt/homebrew/opt/curl/bin:/opt/homebrew/bin:/opt/homebrew/opt/python@3.13/libexec/bin:/Users/milton/bin::/Users/milton/.local/bin:/Library/Java/JavaVirtualMachines/graalvm-jdk-23.0.1+11.1/Contents/Home/bin:/bin:/sbin:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/bin, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: CLAUDE_CODE_SUPPRESS_UI_PROMPTS=1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: LOGNAME=milton, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: HADOOP_HOME=/Users/milton/hadoop-not-here/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: TERM=xterm-256color, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: LS_COLORS=fi=0;37:di=1;34:ln=0;36:so=0;32:pi=0;33:ex=0;32:bd=0;34;46:cd=0;34;43:su=0;37;41:sg=0;37;44:tw=0;37;42:ow=0;37;43, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
