C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Test duration set to 1 seconds
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Test intensity set to medium
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Verbose mode enabled
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Initializing Turtle integration test environment
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Test environment initialized successfully
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Test will run for 1 seconds with medium intensity
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Starting file I/O test operations execution
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing file I/O operations (intensity: medium)
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created temporary directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing 6 file write operations
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_0.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_1.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_2.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_3.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_4.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created and wrote to file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_5.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing file read operations on 6 files
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_0.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_1.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_2.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_3.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_4.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Read from file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_5.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing 6 directory operations
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_0
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Created directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_1
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Directory /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722 contains 8 items
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_3.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: subdir_0
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_2.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: subdir_1
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_0.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_1.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_5.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Found entry: testfile_4.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Entered directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_3.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Entered directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_0
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Entered directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_0/nested_0
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_0/nested_0/marker.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_2.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Entered directory: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/subdir_1
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_0.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_1.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_5.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Visited file: /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_4.txt
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing file deletion operations
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Deleted file /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_5.txt: success
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Deleted file /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_1.txt: success
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Deleted file /var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/turtle-fileio-13820042858978196722/testfile_2.txt: success
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Completed file I/O operations. Created 7 files, 3 directories
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Cleaned up file test resources
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing new sensor validation operations
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executed crypto operations (MessageDigest)
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executed process operations (ProcessBuilder)
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executed serialization operations (ObjectOutputStream/ObjectInputStream)
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Error in reflection operations: Unable to make field private final byte[] java.lang.String.value accessible: module java.base does not "opens java.lang" to unnamed module @5383967b
C:IT | 2025.09.07 at 12:10:31 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executing Phase 2 sensor validation operations
C:IT | 2025.09.07 at 12:10:31 CDT | main | DEBUG | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Executed Phase 2 sensor operations
C:IT | 2025.09.07 at 12:10:32 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | File I/O test operations execution completed
C:IT | 2025.09.07 at 12:10:32 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Cleaning up test environment
C:IT | 2025.09.07 at 12:10:32 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Test cleanup completed. Total test duration: 1029 ms
C:IT | 2025.09.07 at 12:10:32 CDT | main |  INFO | org.jvmxray.integration.turtle.TurtleIntegrationTest |  | Turtle integration test completed successfully
